Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
9/1/2020,, CATANIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 21, MALDONADO, MALDONADO, 1, 685465, 6136870 
10/1/2020,, RAMBLA REPUBLICA DEL PERU, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 577910, 6136270 
11/1/2020,, AVENIDA GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 14, LAVALLEJA, MINAS, 1, 661475, 6196830 
11/1/2020,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, COLONIA, ROSARIO, 1, 467340, 6203640 
11/1/2020,, CIUDAD DE YOUNG, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, PAYSANDU, PAYSANDU, 1, 400125, 6423505 
11/1/2020,, CAMINO VECINAL, CAÍDA, LEVE, SÁBADO, 12, RIVERA, MOIRONES, 1, 691480, 6501785 
11/1/2020,, AVENIDA CUARO, CAÍDA, LEVE, SÁBADO, 21, RIVERA, RIVERA, 1, 638135, 6581595 
11/1/2020,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 18, CANELONES, SAUCE, 1, 585330, 6166040 
13/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 10, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 1, 554845, 6152760 
14/1/2020,, RUTA 10. KM 115.200, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, MALDONADO, PUNTA BALLENA, 1, 675640, 6139540 
1/1/2020,, COSTANERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 13, COLONIA, COLONIA DEL SACRAMENTO, 1, 422305, 6187070 
