Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
18/11/2021,, SIN DATOS, CAÍDA, LEVE, JUEVES, 12, SALTO, SIN DATOS, 1, 433665, 6569520 
28/11/2021,, CAMINO CARRASCO, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 15, MONTEVIDEO, MONTEVIDEO, 1, 580700, 6140845 
10/12/2021,, CAMINO AL AUTODROMO Y ENTRADA A LA REPRESA DE OSE, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 5, RIVERA, SIN DATOS, 1, 632645, 6584565 
17/12/2021,, SIN DATOS, CAÍDA, LEVE, VIERNES, 17, MALDONADO, FARO JOSE IGNACIO, 1, 714665, 6142530 
11/12/2021,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 22, COLONIA, CARMELO, 1, 381165, 6236925 
1/12/2021,, WILSON FERREIRA ALDUNATE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, DURAZNO, DURAZNO, 1, 544680, 6306585 
20/11/2021,, LAURELES, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 1, MONTEVIDEO, MONTEVIDEO, 1, 570315, 6142170 
25/11/2021,, PERIMETRAL CASI RUTA 39, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 18, MALDONADO, SIN DATOS, 1, 687915, 6138135 
18/11/2021,, WASHINGTON BELTRAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 8, SALTO, SALTO, 1, 409360, 6526650 
15/12/2021,, JUAN MANUEL BLANES, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 17, COLONIA, COLONIA DEL SACRAMENTO, 1, 422350, 6187235 
12/12/2021,, AVENIDA URUGUAY, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 5, MONTEVIDEO, MONTEVIDEO, 1, 574055, 6137425 
29/12/2021,, PALMAR, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 22, MONTEVIDEO, MONTEVIDEO, 1, 576345, 6137625 
22/11/2021,, CARMELO VIÑOLI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 20, DURAZNO, CARMEN, 1, 592435, 6321810 
17/12/2021,, TREINTA Y TRES ORIENTALES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 17, PAYSANDU, PORVENIR, 1, 408950, 6415765 
6/12/2021,, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 8, PAYSANDU, PAYSANDU, 1, 398160, 6423550 
9/12/2021,, RAMBLA O HIGGINS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, MONTEVIDEO, MONTEVIDEO, 1, 581945, 6138045 
