Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
19/12/2022,, HIPOLITO YRIGOYEN, CAÍDA, LEVE, LUNES, 22, MONTEVIDEO, MONTEVIDEO, 1, 581230, 6140115 
25/7/2022,, SIN NOMBRE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 22, COLONIA, COLONIA DEL SACRAMENTO, 1, 422870, 6187190 
3/9/2022,, EJIDO, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 20, MONTEVIDEO, MONTEVIDEO, 1, 574260, 6137440 
28/11/2022,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 6, MALDONADO, LA CAPUERA, 1, 670460, 6140425 
8/7/2022,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 14, CERRO LARGO, MELO, 1, 766525, 6415155 
3/8/2022,, RUPERTO PEREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, MONTEVIDEO, MONTEVIDEO, 1, 569880, 6141445 
2/10/2022,, AVENIDA BLANDENGUES, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 12, SALTO, SALTO, 1, 410105, 6527365 
28/11/2022,, AVENIDA GENERAL RIVERA, ATROPELLO DE PEATÓN, LEVE, LUNES, 18, MONTEVIDEO, MONTEVIDEO, 1, 579520, 6137760 
16/7/2022,, RUTA 14, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, SORIANO, MERCEDES, 1, 405285, 6320870 
14/10/2022,, CUCHILLA CUAREIM, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, MALDONADO, CERRO PELADO, 1, 685040, 6138010 
28/7/2022,, ABIPONES, ATROPELLO DE ANIMALES, LEVE, JUEVES, 20, MONTEVIDEO, MONTEVIDEO, 1, 580240, 6144660 
8/12/2022,, DOCTOR ELIAS REGULES, DESPISTE, LEVE, JUEVES, 8, FLORIDA, FLORIDA, 1, 570425, 6227030 
6/12/2022,, DOCTOR ENRIQUE POUEY, ATROPELLO DE PEATÓN, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 576635, 6137755 
14/7/2022,, SIN DATOS, DESPISTE, SIN LESIONADOS, JUEVES, 3, CANELONES, SIN DATOS, 1, 599455, 6159640 
5/7/2022,, AVENIDA DOCTOR MANUEL ALBO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MARTES, 14, MONTEVIDEO, MONTEVIDEO, 1, 576810, 6138750 
5/10/2022,, AVENIDA MANUEL ORIBE, CAÍDA, LEVE, MIÉRCOLES, 18, SALTO, SALTO, 1, 413670, 6527065 
10/11/2022,, GENERAL FRUCTUOSO RIVERA, CAÍDA, LEVE, JUEVES, 19, TACUAREMBO, TACUAREMBO, 1, 595395, 6489915 
15/12/2022,, VICTOR CALCERAN FONSECA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, ROCHA, LASCANO, 1, 758815, 6270555 
30/8/2022,, CHARRUAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 11, PAYSANDU, PAYSANDU, 1, 397325, 6424340 
14/9/2022,, MIGUEL DE UNAMUNO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 1, MONTEVIDEO, MONTEVIDEO, 1, 565880, 6143275 
6/10/2022,, EXODO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 15, PAYSANDU, PAYSANDU, 1, 399250, 6425640 
23/11/2022,, GUENOAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, MALDONADO, BARRIO HIPODROMO, 1, 687770, 6140020 
2/12/2022,, AVENIDA DE LAS INSTRUCCIONES, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 579140, 6151025 
1/11/2022,, SETEMBRINO PEREDA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 14, PAYSANDU, PAYSANDU, 1, 397520, 6423320 
2/9/2022,, AVENIDA WASHINGTON, CAÍDA, SIN LESIONADOS, VIERNES, 23, CANELONES, SALINAS, 1, 606410, 6150655 
18/12/2022,, JOAQUIN BRANDAO SOSA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 17, PAYSANDU, CHACRAS DE PAYSANDU, 1, 401845, 6425720 
17/7/2022,, SIMON DEL PINO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 14, MALDONADO, MALDONADO, 1, 687800, 6136180 
