Departamento,Gravedad,X,Y
COLONIA,SIN LESIONADOS,423450.0,6185950.0
COLONIA,SIN LESIONADOS,369570.0,6251175.0
MALDONADO,LEVE,686405.0,6133210.0
SALTO,LEVE,408160.0,6527535.0
MONTEVIDEO,LEVE,575480.0,6138360.0
MONTEVIDEO,LEVE,573400.0,6142810.0
MONTEVIDEO,LEVE,577945.0,6142060.0
SALTO,LEVE,413230.0,6528880.0
MALDONADO,LEVE,684865.0,6135160.0
MONTEVIDEO,GRAVE,576695.0,6148160.0
CANELONES,SIN LESIONADOS,612835.0,6153490.0
CANELONES,LEVE,597995.0,6148015.0
SALTO,GRAVE,434540.0,6559100.0
COLONIA,SIN LESIONADOS,458780.0,6191935.0
MONTEVIDEO,LEVE,579720.0,6142960.0
MALDONADO,SIN LESIONADOS,686890.0,6135425.0
ROCHA,LEVE,787945.0,6210795.0
MONTEVIDEO,LEVE,573105.0,6145830.0
ARTIGAS,LEVE,549715.0,6635755.0
CANELONES,SIN LESIONADOS,614595.0,6152460.0
RIO NEGRO,LEVE,379705.0,6333565.0
MALDONADO,SIN LESIONADOS,688675.0,6130125.0
CANELONES,LEVE,618265.0,6153930.0
MALDONADO,GRAVE,685480.0,6137940.0
PAYSANDU,SIN LESIONADOS,397870.0,6423915.0
MALDONADO,SIN LESIONADOS,677505.0,6154750.0
MALDONADO,LEVE,687650.0,6128950.0
CANELONES,LEVE,600030.0,6149955.0
CERRO LARGO,SIN LESIONADOS,766475.0,6416470.0
PAYSANDU,LEVE,397665.0,6422955.0
MONTEVIDEO,LEVE,569515.0,6141235.0
