Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
7/3/2021,, Camino Moro a 4Km de Camino de la Costa Km 24.500, CAÍDA, FATAL, DOMINGO, 6, SAN JOSE, SIN DATOS, 1, 530825, 6177490 
7/3/2021,, MARONAS PARQUE GUARANI ESQ. VERACIERTO, ATROPELLO DE PEATÓN, FATAL, DOMINGO, 15, MONTEVIDEO, MONTEVIDEO, 1, 580405, 6141380 
7/3/2021,, CAMINO VECINAL BOCA DE CUFRE, DESPISTE, FATAL, DOMINGO, 22, SAN JOSE, SIN DATOS, 1, 494460, 6193335 
7/3/2021,, RUTA 11 km. 129.600, COLISIÓN ENTRE VEHÍCULOS, FATAL, DOMINGO, 21, CANELONES, SIN DATOS, 1, 595325, 6178990 
10/3/2021,, LARRAVIDE esq. CEUTA, ATROPELLO DE PEATÓN, FATAL, MIÉRCOLES, 10, MONTEVIDEO, MONTEVIDEO, 1, 578305, 6141180 
12/3/2021,, DIECINUEVE DE ABRIL esq. TACUAREMBO, COLISIÓN ENTRE VEHÍCULOS, FATAL, VIERNES, 14, PAYSANDU, PAYSANDU, 1, 398140, 6424815 
20/3/2021,, JOSE BATLLE Y ORDOÑEZ  esq. OFICIAL TREINTA Y NUEVE, DESPISTE, FATAL, SÁBADO, 1, ARTIGAS, BALTASAR BRUM, 1, 468975, 6602030 
20/3/2021,, AVENIDA OCHO DE OCTUBRE esq. ESTERO BELLACO, CAÍDA, FATAL, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 1, 576835, 6139045 
21/3/2021,, RUTA 87 calle 44, COLISIÓN ENTRE VEHÍCULOS, FATAL, DOMINGO, 0, CANELONES, SIN DATOS, 1, 605630, 6153660 
22/3/2021,, RUTA 5 KM 20.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 6, CANELONES, SIN DATOS, 1, 568250, 6154595 
22/3/2021,, BVAR. FRANCISCO MATA ESQ. JOSE BATLLE Y ORDOÑEZ, ATROPELLO DE PEATÓN, FATAL, LUNES, 18, CERRO LARGO, MELO, 1, 766785, 6414920 
