Departamento,Gravedad,X,Y
2,0,569450.0,6159235.0
2,1,591920.0,6149575.0
1,0,569285.0,6141165.0
6,0,731755.0,6302350.0
18,0,662220.0,6195080.0
13,0,379820.0,6252140.0
17,0,543990.0,6306385.0
3,0,685580.0,6137875.0
7,0,638340.0,6575570.0
10,1,396965.0,6423935.0
12,0,403535.0,6319645.0
8,1,519660.0,6645950.0
1,0,578210.0,6139260.0
4,0,828780.0,6266250.0
3,0,690310.0,6147985.0
3,0,689785.0,6147120.0
9,1,419000.0,6562365.0
3,0,671955.0,6140585.0
8,0,550840.0,6635830.0
17,0,544035.0,6308840.0
2,0,593115.0,6146580.0
1,0,578965.0,6146690.0
9,0,405790.0,6525425.0
1,0,582700.0,6138305.0
10,0,399945.0,6420895.0
2,0,594815.0,6147620.0
1,0,578780.0,6147255.0
10,0,397660.0,6423940.0
1,0,578710.0,6137570.0
7,0,638205.0,6580945.0
11,0,377730.0,6335350.0
2,0,588560.0,6141495.0
3,0,688465.0,6137575.0
19,0,596565.0,6489920.0
10,0,398070.0,6423890.0
2,1,589870.0,6152735.0
4,0,791265.0,6208880.0
1,0,569365.0,6146355.0
3,0,695830.0,6134410.0
4,0,817020.0,6232855.0
16,0,562440.0,6268250.0
2,0,606900.0,6150540.0
2,1,571040.0,6154195.0
3,0,690840.0,6131610.0
3,1,687735.0,6135590.0
17,0,543640.0,6305605.0
18,0,661465.0,6197195.0
1,0,572280.0,6142235.0
18,0,659330.0,6194850.0
1,0,572990.0,6143275.0
2,0,586310.0,6158985.0
14,0,533245.0,6207705.0
16,0,570600.0,6245235.0
4,0,760275.0,6161090.0
11,0,378165.0,6334480.0
1,0,575415.0,6141620.0
2,0,589475.0,6143735.0
7,0,638430.0,6575775.0
7,0,721495.0,6483400.0
13,0,479180.0,6207245.0
1,0,575845.0,6138170.0
2,0,595310.0,6156460.0
10,0,398680.0,6428200.0
7,1,633805.0,6583490.0
9,0,413990.0,6519435.0
2,1,556920.0,6171705.0
8,0,551255.0,6636285.0
1,0,567075.0,6144705.0
16,0,570005.0,6226645.0
6,0,744875.0,6318470.0
11,0,379450.0,6333225.0
11,0,441375.0,6381885.0
1,0,577820.0,6141965.0
9,0,408795.0,6528535.0
4,0,830315.0,6259230.0
3,0,694865.0,6136590.0
10,0,497905.0,6420525.0
2,0,618780.0,6153965.0
2,0,571130.0,6190480.0
10,0,397615.0,6423740.0
19,0,596300.0,6490150.0
1,0,576570.0,6145710.0
1,0,575105.0,6142625.0
3,0,663500.0,6144555.0
3,0,687070.0,6128745.0
10,0,397750.0,6425870.0
4,0,759005.0,6163100.0
2,0,594660.0,6145830.0
5,0,809810.0,6399790.0
1,0,585180.0,6140080.0
12,0,404945.0,6319140.0
3,0,690735.0,6148170.0
11,0,441120.0,6382160.0
10,0,399100.0,6424155.0
1,0,579690.0,6149210.0
13,0,370530.0,6250960.0
6,0,743465.0,6320355.0
2,0,585345.0,6165210.0
10,0,401575.0,6424460.0
3,0,662240.0,6150275.0
1,0,582630.0,6139345.0
13,0,467385.0,6203760.0
9,0,410870.0,6524680.0
9,0,411070.0,6527100.0
2,1,605795.0,6150890.0
3,0,690215.0,6148210.0
2,1,573385.0,6159855.0
5,0,699645.0,6360945.0
12,0,376490.0,6274895.0
3,0,695595.0,6134285.0
14,0,527665.0,6172895.0
9,0,408270.0,6527400.0
1,0,573300.0,6141575.0
12,0,404135.0,6320485.0
1,1,573105.0,6145830.0
1,0,582510.0,6149595.0
19,0,623270.0,6508935.0
14,0,523060.0,6200355.0
1,0,572820.0,6145155.0
13,0,457060.0,6195995.0
1,0,574905.0,6136160.0
11,0,389740.0,6329240.0
9,0,505235.0,6561120.0
2,0,596055.0,6205845.0
14,0,534120.0,6167675.0
1,0,568215.0,6145135.0
13,0,423000.0,6186340.0
1,1,576045.0,6144890.0
1,0,574415.0,6149420.0
1,0,574645.0,6137120.0
13,0,443780.0,6208015.0
1,0,586290.0,6151060.0
6,0,744245.0,6320020.0
15,0,491560.0,6242145.0
2,0,596935.0,6158305.0
1,0,575870.0,6136755.0
14,0,555425.0,6153215.0
12,0,404335.0,6320530.0
1,1,575315.0,6137670.0
1,0,570160.0,6146660.0
16,0,572500.0,6227835.0
1,0,573740.0,6144690.0
8,1,551890.0,6634615.0
13,0,480870.0,6190875.0
5,0,838550.0,6387305.0
1,0,575920.0,6141780.0
12,0,387570.0,6289225.0
3,0,688100.0,6131375.0
2,0,565925.0,6182535.0
1,0,577730.0,6144435.0
2,0,594470.0,6145890.0
2,1,619765.0,6157985.0
3,0,687170.0,6134315.0
8,0,458265.0,6633210.0
