departamento,gravedad,latitud,longitud
3,0,-34.87134283951078,-55.07834196478937
13,0,-34.45498352198961,-57.84585527744153
3,0,-34.78819313678002,-55.24387500884578
12,0,-33.32928308965348,-57.97900378583199
15,0,-33.51516342229207,-56.89835165565267
12,0,-33.25865287211504,-58.04107204813059
3,0,-34.78587542624872,-55.37561418486927
9,0,-31.390515302081223,-57.97736641435714
19,0,-31.70680846890317,-55.97500927150218
7,0,-30.964315483115872,-55.565278258860126
1,0,-34.89708132767726,-56.11767945356786
16,0,-34.101148413558946,-56.228257165306026
18,0,-33.9282821960474,-54.7793383369782
8,0,-30.40175972616082,-56.46802697001904
2,0,-34.52460922200573,-56.28217408222849
8,0,-30.411389014425666,-56.461623865381895
2,0,-34.70656740129497,-56.2416231229329
2,1,-34.791892074708834,-55.99523121333601
1,0,-34.86951518686603,-56.24193526433241
6,0,-33.39317192545109,-54.50830422698341
18,0,-34.37295429954008,-55.235734207375216
13,0,-33.864215445539244,-58.299277796096504
17,0,-33.38090233283223,-56.52705429959571
3,0,-34.88458069422417,-54.96927929956794
7,0,-30.94521906520255,-55.55179908832727
10,1,-32.316685875517884,-58.09458320930479
12,0,-33.2578864751549,-58.035641551220934
8,1,-30.31808218111039,-56.79550383410911
1,0,-34.886043878792435,-56.14411564991654
4,0,-33.69285058697011,-53.453359626568734
3,0,-34.792596829319145,-54.91984500525743
3,0,-34.800489970674946,-54.92538476541829
9,1,-31.069688827200743,-57.849072543565
3,0,-34.862554914824635,-55.11885424215216
8,0,-30.408493353503143,-56.47069732307849
17,0,-33.35875753553754,-56.526690438383234
2,0,-34.818787378471775,-55.98183854280267
1,0,-34.81899184809848,-56.136554419897
9,0,-31.4019588630093,-57.99100138248261
1,0,-34.89429877314887,-56.094890580693686
10,0,-32.34437659620715,-58.06325069916868
2,0,-34.80925353298773,-55.96337010608329
1,0,-34.81391175467856,-56.13863013385019
10,0,-32.31670459118933,-58.087200545788896
1,0,-34.90124325124461,-56.13848541329971
7,0,-30.89674996894842,-55.55394163670068
11,0,-33.11364730618904,-58.31051508535563
2,0,-34.865042254809055,-56.031101336140814
3,0,-34.88675288260428,-54.93766043140866
19,0,-31.72205586006225,-55.98075204017785
10,0,-32.317193021786046,-58.08285098110963
2,1,-34.76358302449576,-56.01797429951851
4,0,-34.220436353155804,-53.83840326631016
1,0,-34.82271213317511,-56.24148955452476
3,0,-34.91387986299437,-54.8563743320566
4,0,-33.99708011234146,-53.56800191530033
16,0,-33.7239258288999,-56.32603918006796
2,0,-34.78173003125509,-55.83163701390575
2,1,-34.75190386200124,-56.223837381094306
3,0,-34.94006324208994,-54.910324108150455
3,1,-34.904776502039546,-54.9451985369311
17,0,-33.38795183647788,-56.530779323468295
18,0,-34.35400747503831,-55.24433980013547
1,0,-34.85965853151103,-56.20926127817416
18,0,-34.375476568640146,-55.26710966033036
1,0,-34.85023033033604,-56.20158519451851
2,0,-34.707536728076946,-56.05751039915503
14,0,-34.271283317831404,-56.63885114000566
16,0,-33.93097162401604,-56.23612504507543
4,0,-34.659100359159964,-54.15986739448422
11,0,-33.121541780216155,-58.30596983887775
