gravedad,departamento,longitud,latitud
0.0,1.0,-56.189733573263126,-34.887573833922424
0.0,1.0,-56.16066468832716,-34.86744839755564
0.0,1.0,-56.16290325933088,-34.86786960809782
0.0,1.0,-56.17164665726034,-34.85241969693998
0.0,1.0,-56.19268767767032,-34.84845829716521
1.0,1.0,-56.23389859024879,-34.83357564216173
0.0,1.0,-56.08787130389399,-34.87585118510069
0.0,1.0,-56.14727623122816,-34.90847394791305
0.0,1.0,-56.1854308022254,-34.88556127338986
0.0,1.0,-56.19027620096345,-34.87130121097269
0.0,1.0,-56.11893052193676,-34.82084931251275
1.0,1.0,-56.11769271704763,-34.854880680545016
1.0,1.0,-56.173907139195066,-34.89436552995757
1.0,1.0,-56.16576331836768,-34.88799782024281
0.0,1.0,-56.18650637885827,-34.88746210738015
0.0,1.0,-56.06446424976094,-34.7881156279078
0.0,1.0,-56.19202139459105,-34.87744459527982
0.0,1.0,-56.13482318986787,-34.88516654577719
0.0,1.0,-56.13690650859508,-34.90569557752236
0.0,1.0,-56.14266936089961,-34.909388344466784
0.0,1.0,-56.26707508501149,-34.8722843625038
0.0,1.0,-56.18630868121144,-34.86865970198492
0.0,1.0,-56.138202090428855,-34.88645296235616
0.0,1.0,-56.20899561007183,-34.87597818551417
0.0,1.0,-56.2200119767193,-34.82171968140952
0.0,1.0,-56.13669832336722,-34.80519630614673
0.0,1.0,-56.22751631059066,-34.86703483795284
0.0,1.0,-56.15560817378213,-34.89117391929647
0.0,1.0,-56.15030384429867,-34.906781879477606
0.0,1.0,-56.14411564991654,-34.886043878792435
0.0,1.0,-56.2099610464804,-34.86656134912228
1.0,1.0,-56.179833719358776,-34.89819291920559
0.0,1.0,-56.17218497488328,-34.85328000881329
1.0,1.0,-56.07564331221517,-34.79518947780136
1.0,1.0,-56.16757012674911,-34.81185883984055
0.0,1.0,-56.26476148596743,-34.80026625599242
0.0,1.0,-56.13491742652357,-34.8605049778804
0.0,1.0,-56.18390489551683,-34.91260285861371
0.0,1.0,-56.14308080909719,-34.88558572543996
0.0,1.0,-56.16576331836768,-34.88799782024281
0.0,1.0,-56.1960589821682,-34.8841892565222
1.0,1.0,-56.122536085321485,-34.87263466823027
0.0,1.0,-56.246759032591264,-34.802410529416484
1.0,1.0,-56.20009081968398,-34.789849012453985
0.0,1.0,-56.14522845249086,-34.91066878270866
0.0,1.0,-56.223473470500025,-34.84901944716662
0.0,1.0,-56.11731756460731,-34.82854743559569
0.0,1.0,-56.14250240131191,-34.88332733147935
0.0,1.0,-56.14659222241709,-34.874068319857294
0.0,1.0,-56.135400204400426,-34.86664016569526
0.0,1.0,-56.33320773748461,-34.859770102575816
0.0,1.0,-56.18584623565708,-34.91554648747313
0.0,1.0,-56.13158132866163,-34.855251170389145
1.0,1.0,-56.107267929918855,-34.82752728441048
0.0,1.0,-56.25433405091883,-34.835280671843456
0.0,1.0,-56.17349476292938,-34.89729333928834
0.0,1.0,-56.260624398824326,-34.859530802670065
0.0,1.0,-56.25871421536844,-34.79193349053498
0.0,1.0,-56.17678558307156,-34.89654920404175
0.0,1.0,-56.13496456863569,-34.861226696383554
0.0,1.0,-56.1180596353404,-34.871745639847006
0.0,1.0,-56.13381030007461,-34.86175951703822
0.0,1.0,-56.18699414983633,-34.90459820255902
0.0,1.0,-56.19313785905743,-34.903151295287046
0.0,1.0,-56.26642014167923,-34.76727220519311
0.0,1.0,-56.14815414636624,-34.897659418187345
0.0,1.0,-56.15221912013283,-34.86418866543158
0.0,1.0,-56.14655867372515,-34.87731430419856
0.0,1.0,-56.16627508534047,-34.86983149482253
0.0,1.0,-56.22998512440038,-34.789906545131494
0.0,1.0,-56.25237844946277,-34.86407925042484
1.0,1.0,-56.25322550418948,-34.86719544933516
0.0,1.0,-56.13394981029661,-34.86410500493639
0.0,1.0,-56.09182398305844,-34.89450132932217
0.0,1.0,-56.13669832336722,-34.80519630614673
0.0,1.0,-56.220368465007965,-34.865095574557486
0.0,1.0,-56.176078182285664,-34.8577700255896
0.0,1.0,-56.15993898891468,-34.825828406138754
0.0,1.0,-56.11557490749993,-34.89431577931757
0.0,1.0,-56.16092198520162,-34.906720394639194
0.0,1.0,-56.26707508501149,-34.8722843625038
1.0,1.0,-56.1327596481263,-34.852419130268785
0.0,1.0,-56.21804876801873,-34.855882976831005
0.0,1.0,-56.19256015950203,-34.895076993252
0.0,1.0,-56.19256015950203,-34.895076993252
0.0,1.0,-56.29026509285913,-34.71989090548337
0.0,1.0,-56.08908562643195,-34.845111464469234
0.0,1.0,-56.10663700915839,-34.89095913129408
0.0,1.0,-56.13925515336776,-34.816891906158105
0.0,1.0,-56.15092667757183,-34.846235199425365
0.0,1.0,-56.193206953781285,-34.88489174630562
0.0,1.0,-56.26089025444113,-34.78694201694877
0.0,1.0,-56.13381030007461,-34.86175951703822
0.0,1.0,-56.22960113535639,-34.85464918991439
1.0,1.0,-56.1750397051844,-34.90149686351262
0.0,1.0,-56.15882672308742,-34.8921430472478
0.0,1.0,-56.202193100153785,-34.87223663510769
0.0,1.0,-56.13848541329971,-34.90124325124461
0.0,1.0,-56.12683568043733,-34.84885999604586
1.0,1.0,-56.13071158515194,-34.82873405583985
0.0,1.0,-56.18161768715536,-34.88936801055376
0.0,1.0,-56.08749556120174,-34.80086967106029
0.0,1.0,-56.17182929754502,-34.86693882757689
0.0,1.0,-56.15560817378213,-34.89117391929647
0.0,1.0,-56.19740871504506,-34.852276831984454
0.0,1.0,-56.1763833812113,-34.89298465630963
0.0,1.0,-56.06685944839304,-34.89070536415834
0.0,1.0,-56.24029378941368,-34.86955002870636
1.0,1.0,-56.13650602246099,-34.8026700772529
0.0,1.0,-56.19498913457717,-34.842386834193434
0.0,1.0,-56.1180596353404,-34.871745639847006
0.0,1.0,-56.09446101406812,-34.873601050508
0.0,1.0,-56.13456942740867,-34.820600867605314
0.0,1.0,-56.12183879752524,-34.83529806032319
0.0,1.0,-56.09335807887175,-34.83950758748641
0.0,1.0,-56.22308941141424,-34.86078465896616
0.0,1.0,-56.16040431826588,-34.914561816273306
1.0,1.0,-56.09173412409768,-34.798151090226554
0.0,1.0,-56.145369250273085,-34.88122846183933
0.0,1.0,-56.310752696506775,-34.79755963989542
0.0,1.0,-56.12163263299887,-34.895847548530185
0.0,1.0,-56.18433125933345,-34.90823235151379
0.0,1.0,-56.1871367400292,-34.89012642487214
0.0,1.0,-56.1008358192052,-34.89105161541194
0.0,1.0,-56.2240389777616,-34.80623545587674
0.0,1.0,-56.1759364277714,-34.91033985856798
0.0,1.0,-56.2130951731081,-34.84764522302369
0.0,1.0,-56.1871367400292,-34.89012642487214
0.0,1.0,-56.19341947044676,-34.907932318208694
0.0,1.0,-56.18519729351736,-34.88150192493424
0.0,1.0,-56.18051149564169,-34.90157896683267
